value_type,type,date,horizon,forecast_start,mean,median,sd,mad,q5,q20,q80,q95
cases,Overall,2021-07-03,1,FALSE,3012.439,2905.5,847.3467670032,720.5436,1904.4,2343.8,3592.2,4519.1
cases,Overall,2021-07-10,2,FALSE,1873.264,1690,961.324854064182,671.6178,838,1211.6,2432,3436.4
cases,Overall,2021-07-17,3,FALSE,1249.5135,983,1258.13131072049,579.6966,340.65,588,1685.4,2807.85
cases,Overall,2021-07-24,4,FALSE,962.7165,567,2771.63581061096,442.5561,121.95,282.8,1169,2583.1
growth,Overall,2021-06-26,1,FALSE,-0.419497116448929,-0.419206857142857,0.164224248948077,0.1424667405,-0.630179942857143,-0.518494271428572,-0.321119228571429,-0.215876885714286
growth,Overall,2021-07-03,2,FALSE,-0.418947127338929,-0.421688142857143,0.213916773849432,0.1929218424,-0.6905041,-0.544599157142857,-0.290367471428571,-0.149986728571429
growth,Overall,2021-07-10,3,FALSE,-0.426134770503357,-0.419825607142857,0.270086632700879,0.2253603891,-0.768889353571429,-0.577452857142857,-0.271021142857143,-0.0875977142857143
growth,Overall,2021-07-17,4,FALSE,-0.427457229866071,-0.4216905,0.329572900715764,0.2732557821,-0.824940285714286,-0.6081713,-0.248457785714286,-0.0366497528571431
rt,Overall,2021-06-26,1,FALSE,0.657377320947852,0.65756815852771,0.164224248948077,0.1424667405,0.532495973538526,0.595416408837967,0.725336764968149,0.805834505506212
rt,Overall,2021-07-03,2,FALSE,0.657738970758147,0.655938566627423,0.213916773849432,0.1929218424,0.501323288288387,0.580074255366234,0.747988652611231,0.860719399325287
rt,Overall,2021-07-10,3,FALSE,0.653028327233536,0.657161414079161,0.270086632700879,0.2253603891,0.463527597799208,0.561326325526217,0.762600372683879,0.9161293483522
rt,Overall,2021-07-17,4,FALSE,0.652165294596643,0.655937020488338,0.329572900715764,0.2732557821,0.438261162135843,0.544345403884524,0.780002787400667,0.964013719277551
