value_type,variable,clean_name,date,type,obs,observed,forecast_start,exponentiated,mean,median,sd,mad,q5,q20,q80,q95,rhat,ess_bulk,ess_tail
model,avg_voc_advantage,Average VOC effect,,,,,,TRUE,1.8057933061082,1.8057933061082,0.0283,0.0265,1.72460838237644,1.76473405150846,1.84780786747887,1.89079996230323,1,1880,1410
model,beta,Beta,,,,,,FALSE,0.359,0.457,0.47,0.487,-0.523,-0.0868,0.798,0.949,1,616,1090
model,init_cases[1],Initial cases,,,,,,TRUE,89321.7233608056,89321.7233608056,0.0713,0.0721,80821.6375403136,80821.6375403136,98715.7710107605,98715.7710107605,1,1720,1260
model,init_cases[2],Initial VOC cases,,,,,,TRUE,219.203385553955,219.203385553955,0.0975,0.0971,186.792803520168,202.350228388148,237.460192761167,257.237555905775,1,2220,1480
model,phi[1],Notification overdispersion,,,,,,FALSE,92,77,62,47.8,23.6,43.5,130,212,1,809,1100
model,phi[2],Sequencing overdispersion,,,,,,FALSE,189,164,119,99.5,50.4,92.8,266,424,1,2140,1190
model,r_init,Initial growth,,,,,,FALSE,0.131,0.13,0.074,0.0652,0.0151,0.0744,0.187,0.251,1,1240,859
model,r_noise,Growth (sd),,,,,,FALSE,0.105,0.0928,0.0597,0.0576,0.0319,0.0525,0.154,0.22,1,578,1160
model,voc_mod,Initial VOC effect,,,,,,TRUE,1.8057933061082,1.8057933061082,0.0283,0.0265,1.72460838237644,1.76473405150846,1.84780786747887,1.89079996230323,1,1880,1410
cases,sim_cases[1],,2021-03-20,Combined,87328,TRUE,FALSE,,90100,89500,13400,12100,69200,79700,1e+05,112000,1,2060,1860
cases,sim_cases[2],,2021-03-27,Combined,109442,TRUE,FALSE,,102000,102000,14700,13100,78800,91000,113000,126000,1,2130,1850
cases,sim_cases[3],,2021-04-03,Combined,117965,TRUE,FALSE,,114000,113000,17600,15200,86500,1e+05,126000,143000,1,1980,1700
cases,sim_cases[4],,2021-04-10,Combined,107223,TRUE,FALSE,,123000,122000,19100,16700,93100,109000,137000,154000,1,1820,1760
cases,sim_cases[5],,2021-04-17,Combined,142664,TRUE,FALSE,,133000,133000,19900,17400,104000,118000,148000,164000,1,1920,1350
cases,sim_cases[6],,2021-04-24,Combined,145568,TRUE,FALSE,,138000,137000,20400,18200,106000,122000,153000,172000,1,1910,1860
cases,sim_cases[7],,2021-05-01,Combined,131887,TRUE,FALSE,,128000,127000,19100,16700,98800,113000,142000,160000,1,1860,1780
cases,sim_cases[8],,2021-05-08,Combined,107141,TRUE,FALSE,,106000,105000,16300,13700,82400,94800,117000,132000,1,2090,1820
cases,sim_cases[9],,2021-05-15,Combined,77261,TRUE,FALSE,,79600,78800,11800,10600,62700,70300,88100,99600,1,1880,1750
cases,sim_cases[10],,2021-05-22,Combined,57310,TRUE,FALSE,,55700,55200,8510,6970,43400,49400,61500,69900,1,1890,1650
cases,sim_cases[11],,2021-05-29,Combined,33052,TRUE,FALSE,,35800,35500,5540,4500,27800,31900,39600,45200,1,1870,1700
cases,sim_cases[12],,2021-06-05,Combined,22631,TRUE,FALSE,,22900,22700,3230,2800,17900,20400,25200,28100,1,2200,1850
cases,sim_cases[13],,2021-06-12,Combined,15553,TRUE,FALSE,,14200,14000,1910,1690,11400,12600,15600,17300,1,2160,1780
cases,sim_cases[14],,2021-06-19,Combined,7659,TRUE,FALSE,,8310,8240,1130,936,6700,7440,9080,10200,1,2340,1850
cases,sim_cases[15],,2021-06-26,Combined,5033,TRUE,TRUE,,5140,5060,822,692,4050,4520,5680,6470,1,2140,1750
cases,sim_cases[16],,2021-07-03,Combined,,FALSE,FALSE,,3400,3300,900,789,2170,2690,4020,5010,1,2050,1580
cases,sim_cases[17],,2021-07-10,Combined,,FALSE,FALSE,,2510,2300,1160,905,1120,1630,3210,4580,1,1780,1620
cases,sim_cases[18],,2021-07-17,Combined,,FALSE,FALSE,,2130,1710,2140,1030,551,999,2880,4920,1,1810,1460
cases,sim_cases[19],,2021-07-24,Combined,,FALSE,FALSE,,2160,1340,6260,1110,256,611,2850,5870,1,1710,1720
cases,sim_voc_cases[1],,2021-04-17,VOC,,TRUE,FALSE,,221,218,40,37.1,162,189,252,288,1,2010,1850
cases,sim_voc_cases[2],,2021-04-24,VOC,,TRUE,FALSE,,410,408,71.1,68.2,301,351,469,528,1,1800,1750
cases,sim_voc_cases[3],,2021-05-01,VOC,,TRUE,FALSE,,684,673,124,108,507,588,772,900,1,1970,1770
cases,sim_voc_cases[4],,2021-05-08,VOC,,TRUE,FALSE,,1030,1010,194,175,742,869,1170,1360,1,2290,1850
cases,sim_voc_cases[5],,2021-05-15,VOC,,TRUE,FALSE,,1380,1350,269,234,991,1170,1580,1830,1,2270,1820
cases,sim_voc_cases[6],,2021-05-22,VOC,,TRUE,FALSE,,1720,1680,330,307,1230,1450,1960,2290,1,2280,1550
cases,sim_voc_cases[7],,2021-05-29,VOC,,TRUE,FALSE,,1960,1920,413,354,1390,1650,2250,2670,1,2300,1650
cases,sim_voc_cases[8],,2021-06-05,VOC,,TRUE,FALSE,,2170,2140,459,411,1500,1810,2500,2980,1,2250,1720
cases,sim_voc_cases[9],,2021-06-12,VOC,,TRUE,TRUE,,2230,2200,490,442,1510,1830,2580,3060,1,2130,1660
cases,sim_voc_cases[10],,2021-06-19,VOC,,FALSE,FALSE,,2110,2080,490,451,1420,1710,2460,2950,1,2270,1660
cases,sim_voc_cases[11],,2021-06-26,VOC,,FALSE,FALSE,,1950,1910,464,422,1300,1570,2290,2770,1,2250,1630
cases,sim_voc_cases[12],,2021-07-03,VOC,,FALSE,FALSE,,1780,1700,575,497,1040,1320,2170,2810,1,2210,1450
cases,sim_voc_cases[13],,2021-07-10,VOC,,FALSE,FALSE,,1670,1520,844,630,703,1050,2160,3090,1,2010,1640
cases,sim_voc_cases[14],,2021-07-17,VOC,,FALSE,FALSE,,1660,1320,1760,824,417,744,2250,3840,1,1850,1610
cases,sim_voc_cases[15],,2021-07-24,VOC,,FALSE,FALSE,,1860,1150,5590,959,222,522,2450,5170,1,1760,1720
cases,sim_nvoc_cases[1],,2021-03-20,non-VOC,,TRUE,FALSE,,90100,89500,13400,12100,69200,79700,1e+05,112000,1,2060,1860
cases,sim_nvoc_cases[2],,2021-03-27,non-VOC,,TRUE,FALSE,,102000,102000,14700,13100,78800,91000,113000,126000,1,2130,1850
cases,sim_nvoc_cases[3],,2021-04-03,non-VOC,,TRUE,FALSE,,114000,113000,17600,15200,86500,1e+05,126000,143000,1,1980,1700
cases,sim_nvoc_cases[4],,2021-04-10,non-VOC,,TRUE,FALSE,,123000,122000,19100,16700,93100,109000,137000,154000,1,1820,1760
cases,sim_nvoc_cases[5],,2021-04-17,non-VOC,,TRUE,FALSE,,133000,133000,19900,17400,103000,118000,147000,164000,1,1920,1350
cases,sim_nvoc_cases[6],,2021-04-24,non-VOC,,TRUE,FALSE,,138000,137000,20400,18100,105000,122000,153000,172000,1,1910,1790
cases,sim_nvoc_cases[7],,2021-05-01,non-VOC,,TRUE,FALSE,,127000,127000,19100,16600,98200,113000,141000,159000,1,1860,1780
cases,sim_nvoc_cases[8],,2021-05-08,non-VOC,,TRUE,FALSE,,105000,105000,16200,13600,81500,93700,116000,131000,1,2090,1820
cases,sim_nvoc_cases[9],,2021-05-15,non-VOC,,TRUE,FALSE,,78300,77400,11700,10500,61300,69000,86700,97800,1,1880,1780
