variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-4195.1569975,-4195.05,5.07588643152703,5.05566599999978,-4203.7405,-4187.2485,1.00222811716253,1144.20729714322,2131.28820398615
beta,-0.1469616610335,-0.148029,0.0963539207192468,0.09157775571,-0.30476785,0.01225311,1.00103777577528,3229.92419377093,2472.33205550979
beta_noise,0.124682147825,0.11941,0.0421218567827289,0.0403578546,0.06760852,0.2020831,1.00072753701039,2602.61163635333,2559.82378846686
delta_mod,0.3779609521,0.3869365,0.11825987258367,0.1224145755,0.16930075,0.5497605,1.00206515647716,2874.89793708944,1847.27639839575
delta_noise,0.1094935327147,0.1062935,0.0607151733405541,0.0640119963,0.01522865,0.2135024,1.00334468811931,1715.12654221897,1869.27249836746
eta[1],-0.56665755860175,-0.5713295,0.83771418074932,0.80668666302,-1.955376,0.8632318,0.999803844343813,5169.59118016847,2903.04275905992
eta[2],-0.7184163867375,-0.7180785,0.807350845793821,0.7632068976,-2.0523095,0.606947899999999,1.00096135608503,5723.6148114228,3060.79340800988
eta[3],-0.64254112421475,-0.616195,0.823620657688397,0.82443294024,-2.0617235,0.6778253,1.00023105415177,5874.33287322366,3336.6171232481
eta[4],-0.74977780007875,-0.7448155,0.792758379438907,0.7623833133,-2.0504215,0.55440445,1.00118002114211,5952.41754652608,3352.02509163377
eta[5],-0.39304189503475,-0.3682575,0.846256889138275,0.8317689933,-1.8402975,0.98370935,1.00231459588429,4716.33239664708,2798.38553153935
eta[6],-0.6472454809165,-0.645805,0.815676899028993,0.82181051736,-1.963346,0.693618,1.00170499527131,6382.70000713119,2838.98366475126
eta[7],-0.87082093567,-0.883008,0.88116543560947,0.8856044232,-2.2854245,0.616730449999999,1.00119930622356,3400.00688673246,2665.68019269963
eta[8],-0.075292989168,-0.0568247,0.891045798069719,0.8910329631,-1.579927,1.336268,1.00173938670772,5982.2549499291,3235.94976766623
eta[9],0.18210062665525,0.196695,0.955350988891864,0.9662059722,-1.343451,1.74437,1.0019301262597,5704.74498370877,3099.33932916206
